Filename,Detected_Grid,Score_2x2,Score_4x4,Score_8x8
0.jpg,2x2,10813.78,4355.28,5666.62
1.jpg,2x2,41284.52,4475.41,2603.27
10.jpg,2x2,21967.91,1980.05,4720.5
100.jpg,2x2,30142.88,4554.04,3363.49
101.jpg,2x2,37981.38,6201.63,3242.45
102.jpg,2x2,25163.51,3623.92,3319.55
103.jpg,2x2,33297.16,4649.94,5042.54
104.jpg,2x2,29894.2,3525.39,4573.15
105.jpg,2x2,30067.68,2083.25,1611.59
106.jpg,2x2,23264.08,7218.07,8763.0
107.jpg,2x2,33260.84,3018.32,2764.48
108.jpg,2x2,24231.11,8739.55,2589.58
109.jpg,2x2,19968.03,4639.26,4445.46
11.jpg,2x2,26698.97,3079.87,6880.26
12.jpg,2x2,48109.57,2208.88,3632.01
13.jpg,2x2,32347.21,2760.52,6237.82
14.jpg,2x2,21780.0,2878.04,2237.13
15.jpg,2x2,32371.01,2993.05,3853.65
16.jpg,2x2,19393.69,2914.06,5311.5
17.jpg,2x2,18562.27,5883.89,7202.28
18.jpg,2x2,23280.67,8954.72,5850.08
19.jpg,2x2,14537.39,5104.64,2492.13
2.jpg,2x2,37163.95,4602.33,3549.26
20.jpg,2x2,58217.48,3213.86,7133.83
21.jpg,2x2,14109.03,2036.31,1019.67
22.jpg,2x2,30201.38,3933.56,3320.27
23.jpg,2x2,19752.74,7005.96,5389.85
24.jpg,2x2,25578.39,2223.45,5209.16
25.jpg,2x2,14798.18,839.48,2568.2
26.jpg,2x2,22072.98,3544.38,4506.18
27.jpg,2x2,8972.42,7353.67,5950.46
28.jpg,2x2,27728.93,9442.65,3830.6
29.jpg,2x2,17655.27,4844.33,4220.89
3.jpg,2x2,34309.17,5400.36,5426.11
30.jpg,2x2,5821.89,3068.82,2635.86
31.jpg,2x2,16001.72,1277.27,3074.21
32.jpg,2x2,11882.69,3783.68,1508.16
33.jpg,2x2,45910.08,4350.98,3938.25
34.jpg,2x2,26799.78,4221.33,6184.43
35.jpg,2x2,25225.25,6459.84,7100.24
36.jpg,2x2,31994.33,2792.83,5488.34
37.jpg,2x2,13003.4,9307.94,5555.56
38.jpg,2x2,50346.07,4043.29,2342.37
39.jpg,2x2,38608.62,3910.31,3067.54
4.jpg,2x2,14274.33,6043.6,4259.15
40.jpg,2x2,14613.25,6493.9,4909.49
41.jpg,2x2,13292.94,6777.59,4286.08
42.jpg,8x8,34118.41,11152.29,17499.82
43.jpg,2x2,20144.3,2178.45,2721.51
44.jpg,2x2,13682.82,6542.88,4481.7
45.jpg,2x2,26932.16,6281.44,3315.65
46.jpg,2x2,33003.1,4526.6,3902.69
47.jpg,2x2,17847.75,2496.93,2166.83
48.jpg,2x2,22123.59,4158.4,3359.93
49.jpg,2x2,55360.14,3841.91,5104.9
5.jpg,2x2,47193.95,4463.22,3828.87
50.jpg,2x2,22124.3,3182.33,4869.53
51.jpg,2x2,19101.75,3060.43,4838.61
52.jpg,2x2,26149.61,4538.36,6498.25
53.jpg,2x2,10379.93,3127.24,1204.33
54.jpg,2x2,8995.88,3524.76,2892.38
55.jpg,2x2,46241.06,8860.46,1028.55
56.jpg,2x2,13155.05,2047.08,3079.56
57.jpg,2x2,42779.65,4465.94,6372.5
58.jpg,4x4,29172.38,12727.76,7624.55
59.jpg,2x2,26868.64,3262.99,10453.02
6.jpg,2x2,22824.63,9294.77,5444.61
60.jpg,2x2,35692.08,9221.09,2664.44
61.jpg,2x2,24988.6,2982.06,6977.76
62.jpg,2x2,31805.79,987.52,6157.08
63.jpg,2x2,33433.96,8565.31,11944.76
64.jpg,2x2,34841.73,3083.62,5313.6
65.jpg,2x2,36054.47,3897.65,13386.06
66.jpg,2x2,25268.03,1834.48,2583.46
67.jpg,2x2,39899.68,2189.32,6474.6
68.jpg,2x2,33524.17,7241.81,5480.25
69.jpg,2x2,27902.24,1497.65,4194.88
7.jpg,2x2,19837.26,5196.05,5955.26
70.jpg,2x2,36188.01,8111.28,4321.76
71.jpg,2x2,35002.17,2927.75,4198.0
72.jpg,2x2,24999.09,3979.21,2358.95
73.jpg,2x2,20931.86,2370.51,8486.67
74.jpg,2x2,6230.69,7016.5,4196.3
75.jpg,2x2,40033.35,694.34,2571.17
76.jpg,2x2,34350.2,4739.41,2637.96
77.jpg,2x2,27443.81,6480.35,7155.47
78.jpg,2x2,29291.71,4294.43,3788.85
79.jpg,2x2,21781.49,6653.51,5682.42
8.jpg,2x2,7482.47,1982.56,2131.65
80.jpg,2x2,22320.49,7601.48,3965.74
81.jpg,2x2,33371.32,8124.04,5742.53
82.jpg,2x2,38428.77,2540.04,4640.27
83.jpg,2x2,29274.43,8918.37,7198.21
84.jpg,2x2,19624.8,8499.67,4480.58
85.jpg,2x2,26000.99,7228.77,4991.57
86.jpg,2x2,32301.7,9114.84,3756.53
87.jpg,2x2,37431.82,2462.76,3464.45
88.jpg,2x2,19620.38,4584.75,5936.25
89.jpg,2x2,40937.8,4097.23,4745.68
9.jpg,2x2,15094.32,4788.33,4616.27
90.jpg,2x2,16536.61,5659.57,5069.99
91.jpg,2x2,37462.6,6853.74,11674.19
92.jpg,2x2,35855.55,785.87,2698.14
93.jpg,2x2,32193.59,6007.57,5689.82
94.jpg,2x2,15567.63,3899.54,6547.2
95.jpg,2x2,32076.64,3891.88,3971.32
96.jpg,2x2,24055.17,6589.67,6709.4
97.jpg,2x2,28819.49,4583.67,5214.01
98.jpg,2x2,33917.6,4255.14,3179.31
99.jpg,2x2,13147.06,4533.9,3810.19
