Filename,Detected_Grid,Score_2x2,Score_4x4,Score_8x8
0.jpg,8x8,20324.13,19481.74,20084.11
1.jpg,8x8,26433.31,30909.48,33710.61
10.jpg,8x8,22578.6,24464.81,27744.85
100.jpg,8x8,20979.01,19474.72,24812.81
101.jpg,8x8,24279.83,18698.29,22679.45
102.jpg,8x8,25376.96,24823.47,27052.22
103.jpg,8x8,21722.83,25087.22,22135.17
104.jpg,8x8,24275.34,25558.56,19473.27
105.jpg,8x8,23481.28,31370.3,30144.24
106.jpg,8x8,19084.2,18191.45,18236.28
107.jpg,8x8,24927.23,22182.17,22758.46
108.jpg,8x8,28592.55,27730.53,24647.87
109.jpg,8x8,21185.32,16028.57,19500.98
11.jpg,8x8,31416.74,21823.03,25924.83
12.jpg,8x8,28924.21,31018.03,27002.3
13.jpg,8x8,17594.29,24914.61,27812.27
14.jpg,8x8,15182.39,13945.28,15906.2
15.jpg,8x8,20296.67,24237.85,20262.29
16.jpg,8x8,23707.67,14319.95,20505.73
17.jpg,8x8,17942.34,17996.76,22054.05
18.jpg,8x8,14613.35,14113.38,19302.63
19.jpg,8x8,23952.83,16506.92,23443.94
2.jpg,8x8,25277.17,20706.72,20323.55
20.jpg,8x8,15191.67,17524.51,18851.1
21.jpg,8x8,15706.24,17272.4,14894.37
22.jpg,8x8,23686.62,26613.53,31983.56
23.jpg,8x8,24370.19,17313.09,21455.14
24.jpg,8x8,29984.07,27683.39,28187.12
25.jpg,2x2,5870.3,3286.73,6600.78
26.jpg,8x8,20501.44,20587.96,21223.32
27.jpg,8x8,23732.07,23816.33,27645.49
28.jpg,8x8,28937.98,25655.61,22700.64
29.jpg,8x8,22176.51,18191.67,20209.0
3.jpg,8x8,16369.67,19447.81,24458.04
30.jpg,8x8,19296.68,19243.59,25482.35
31.jpg,8x8,11839.1,9674.99,15544.33
32.jpg,8x8,16034.94,21585.18,15504.71
33.jpg,8x8,24330.36,22289.97,22465.43
34.jpg,8x8,13295.98,22988.14,23736.34
35.jpg,8x8,25250.91,22926.56,23673.78
36.jpg,8x8,30500.37,27497.95,28496.66
37.jpg,8x8,23408.65,15301.69,16049.45
38.jpg,8x8,25406.64,37952.06,32262.55
39.jpg,8x8,28238.05,33487.84,25285.67
4.jpg,8x8,27200.92,33607.11,28325.58
40.jpg,2x2,10883.8,8748.08,9264.7
41.jpg,8x8,20637.58,18251.45,20999.07
42.jpg,8x8,37146.72,23297.92,20167.46
43.jpg,8x8,24750.11,25999.72,27419.27
44.jpg,8x8,25913.03,23019.29,20775.14
45.jpg,8x8,21448.32,20014.17,21505.15
46.jpg,8x8,30226.6,26376.46,23895.54
47.jpg,8x8,29924.51,24645.86,28287.1
48.jpg,8x8,23041.96,23099.48,22305.06
49.jpg,8x8,21283.74,27076.88,21266.29
5.jpg,8x8,22159.92,26632.01,23821.82
50.jpg,8x8,20303.67,21649.12,23630.75
51.jpg,8x8,23554.95,28015.84,21665.72
52.jpg,8x8,23215.04,26007.35,25020.4
53.jpg,8x8,30412.89,16586.97,24037.57
54.jpg,8x8,22206.54,19076.53,19889.4
55.jpg,8x8,25699.58,22132.87,28030.65
56.jpg,8x8,13524.29,27762.16,18424.59
57.jpg,8x8,22725.43,28063.07,19938.79
58.jpg,8x8,26078.66,22229.08,22862.8
59.jpg,8x8,23471.42,17084.82,21184.26
6.jpg,4x4,7306.6,10099.22,6984.02
60.jpg,8x8,29957.18,24637.62,17841.56
61.jpg,8x8,19907.07,24280.05,21009.84
62.jpg,8x8,33219.08,25597.11,30421.58
63.jpg,8x8,29480.22,25935.39,25510.42
64.jpg,8x8,20394.48,26675.36,27987.75
65.jpg,8x8,26606.07,21129.0,26011.02
66.jpg,8x8,26665.39,28018.55,27073.91
67.jpg,8x8,22905.28,25293.65,26198.27
68.jpg,8x8,25745.59,23771.37,27387.04
69.jpg,8x8,30107.4,24118.07,24876.74
7.jpg,8x8,18905.77,19759.01,21468.87
70.jpg,8x8,19676.51,21287.07,24754.53
71.jpg,8x8,22625.38,21428.43,20563.57
72.jpg,8x8,23221.76,23929.0,26256.93
73.jpg,8x8,18702.77,25859.97,23458.85
74.jpg,8x8,28611.36,22747.81,22679.97
75.jpg,8x8,33351.76,17667.68,16299.25
76.jpg,8x8,15118.83,26149.77,21993.45
77.jpg,8x8,21021.35,28704.93,21542.89
78.jpg,8x8,25621.72,24832.55,28829.4
79.jpg,8x8,14671.45,21911.8,24001.71
8.jpg,8x8,18635.2,21122.26,25463.3
80.jpg,8x8,17744.56,23229.68,21914.06
81.jpg,8x8,28003.68,22906.73,27034.93
82.jpg,8x8,27317.08,25441.12,24839.55
83.jpg,8x8,21495.48,29390.47,20957.5
84.jpg,8x8,29837.65,22228.68,24765.44
85.jpg,8x8,20954.45,23562.51,25551.62
86.jpg,8x8,30519.99,26413.24,24596.71
87.jpg,8x8,28977.61,26715.53,20591.58
88.jpg,8x8,27347.05,24675.06,23487.59
89.jpg,8x8,22194.96,31579.54,29995.0
9.jpg,8x8,22675.25,25325.3,24181.36
90.jpg,8x8,23148.1,32094.49,27410.35
91.jpg,8x8,31328.2,25716.8,19666.15
92.jpg,8x8,25685.0,29378.4,19173.18
93.jpg,8x8,28309.52,22582.55,22484.15
94.jpg,8x8,21935.8,26389.98,24512.24
95.jpg,8x8,27803.13,39552.69,30071.1
96.jpg,8x8,29384.41,21053.55,21118.83
97.jpg,8x8,27545.19,26620.92,25438.3
98.jpg,8x8,28515.02,19529.29,25826.85
99.jpg,8x8,23092.74,29027.34,21256.31
